127.0.0.1 - - [27/May/2017:09:20:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/May/2017:09:20:03 +0530] "GET /EmployeePortal/ HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [27/May/2017:09:20:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/May/2017:09:22:21 +0530] "POST /EmployeePortal/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:22:21 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8679
0:0:0:0:0:0:0:1 - - [27/May/2017:09:22:55 +0530] "POST /EmployeePortal/EmployeeForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:22:55 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8679
0:0:0:0:0:0:0:1 - - [27/May/2017:09:22:57 +0530] "GET /EmployeePortal/EmployeeDetails HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:03 +0530] "POST /EmployeePortal/UpdateDetails HTTP/1.1" 200 6158
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:11 +0530] "POST /EmployeePortal/Update_Emp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:11 +0530] "GET /EmployeePortal/EmployeeDetails HTTP/1.1" 200 7624
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:15 +0530] "POST /EmployeePortal/Delete_Emp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:15 +0530] "GET /EmployeePortal/EmployeeDetails HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:18 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8679
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:21 +0530] "GET /EmployeePortal/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:23:21 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [27/May/2017:09:24:28 +0530] "GET /EmployeePortal/ HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [27/May/2017:09:24:30 +0530] "POST /EmployeePortal/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:24:30 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8679
0:0:0:0:0:0:0:1 - - [27/May/2017:09:24:45 +0530] "GET /EmployeePortal/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:24:45 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3378
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:33 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:33 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:33 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:33 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:33 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:34 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:34 +0530] "GET /EmployeePortal/Prelogin HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:38 +0530] "POST /EmployeePortal/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2017:09:27:38 +0530] "GET /EmployeePortal/Employee HTTP/1.1" 200 8690
0:0:0:0:0:0:0:1 - - [27/May/2017:09:33:25 +0530] "GET /EmployeePortal/EmployeeDetails HTTP/1.1" 200 7442
0:0:0:0:0:0:0:1 - - [27/May/2017:09:35:01 +0530] "POST /EmployeePortal/UpdateDetails HTTP/1.1" 200 6205
0:0:0:0:0:0:0:1 - - [27/May/2017:09:35:52 +0530] "POST /EmployeePortal/UpdateDetails HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [27/May/2017:09:35:53 +0530] "GET /EmployeePortal/Logout HTTP/1.1" 302 -
